geneNames	GSM610737	GSM610738	GSM435828	GSM435833	GSM610718	GSM610690	GSM435823	GSM435824	GSM435825	GSM435826	GSM435827	GSM610691	GSM435821	GSM435822	GSM610695	GSM610696	GSM610717
AASS	5.206133936	3.863925597	3.239618227	6.662893962	1.527452705	2.48277571	2.006863679	2.231896497	3.091070558	2.008463214	1.900363006	3.040712439	2.602024104	1.736001454	4.442329321	4.796140414	3.307571866
AATF	2.643958069	1.526029246	2.723421341	1.635139875	2.246454008	0.571585444	1.157200553	1.520209288	1.553895325	1.611995431	1.090202897	2.058573899	1.429270835	1.75051204	2.118951625	1.420298066	1.971204031
AATK	1.574348849	1.296965777	1.037827746	1.454050789	1.531911776	0.817430674	1.397730502	1.022963618	1.041994652	1.083489619	0.620752859	2.121752188	1.597498613	1.422423083	1.42619259	1.289852679	1.633507723
ABAT	9.077451011	5.199149734	3.558958614	5.7669973	4.263117196	7.560084589	4.919399131	12.77144632	15.4205614	11.57996232	8.219034862	11.29484293	17.25906292	16.59136867	20.00469025	17.74356066	14.6020485
ABCA1	0.598219168	1.450214381	0.212347193	1.551731292	0.842525828	0.467261976	0.144526414	0.587890123	1.120712028	0.388749185	0.834332366	1.051823397	0.116867646	1.291482471	0.551423328	0.390354447	0.499127373
ABCA10	1.572527995	2.437007879	1.284356031	1.120823106	1.334323947	2.386810803	0.089927397	1.526837429	1.93011954	1.490053844	1.552945858	2.474870786	1.005032529	1.680150271	2.642178497	2.104622806	1.923621538
ABCA12	1.366575243	0.515761194	1.788054322	1.000699302	1.371050583	1.028272789	1.450769433	0.668066456	0.982826575	0.866747099	1.525854599	1.093730465	0.984218214	0.742728907	1.067048385	0.794139981	1.130235432
ABCA13	0.278675752	0.202099091	-0.017266187	0.935583059	0.127297499	0.368577347	0.286939889	0.320931195	0.245265963	0.770181525	0.364014165	0.387328117	0.261704914	0.228815969	0.12507205	0.063579546	0.364846605
ABCA17P	0.534091893	0.160665735	0.174255986	0.28559248	0.115415011	0.38018007	0.474064505	0.300950546	0.281062958	0.271121688	0.307029867	0.180453478	0.453249012	0.19517588	0.142479489	0.089019556	0.652325943
ABCA2	0.239329373	0.478951224	-0.043224132	0.1125282	0.458883426	0.711474421	0.60701074	0.167480788	0.321583103	0.503910589	0.90307653	0.216706862	0.381715723	0.52143731	0.423207499	0.45782878	0.452094197
ABCA3	1.524165081	2.098393223	1.750486525	1.428053851	1.921945264	1.302743882	1.548806179	1.392660405	1.717118653	1.405417855	1.170936516	2.06736028	2.138446067	1.633475337	1.876809781	1.889980633	2.34516888
ABCA4	1.380570582	0.535636782	0.67128836	0.227320424	-0.360411763	0.866293433	1.302975136	0.72789471	0.669908799	0.643816978	0.340427255	0.064313956	0.299160798	0.290720054	0.57845073	0.347754234	0.691996973
ABCA5	19.40561304	45.29773911	10.74853726	15.74426051	9.372161979	19.96564657	2.286255071	20.54246495	11.39139578	14.22428165	10.70146237	9.556247153	6.81863944	14.04393223	5.304799248	9.171218937	3.926701257
